num_pkts_in,num_pkts_out,bytes_in,bytes_out,min_packets_length,max_packets_length,mean_packets_length,min_inter_arrival_time,max_inter_arrival_time,mean_inter_arrival_time,cs,c_extensions,c_key_length,sni
6,8,2964,356,29,1430,553,0,30,15,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '002800002569732d747261636b696e672d6c696e6b2d6170692d70726f642e61707073706f742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['is-tracking-link-api-prod.appspot.com']
8,10,3401,729,29,1430,516,0,5782,752,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '002800002569732d747261636b696e672d6c696e6b2d6170692d70726f642e61707073706f742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['is-tracking-link-api-prod.appspot.com']
11,9,7561,832,91,1460,839,0,620,63,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000f00000c7777772e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.bing.com']
11,9,7561,832,91,1460,839,0,615,63,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000f00000c7777772e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.bing.com']
8,7,3085,355,6,1460,491,0,17,3,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00170000147777772e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.surveymonkey.com']
22,12,19319,1229,6,1460,978,0,1839,111,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00170000147777772e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.surveymonkey.com']
9,11,4622,740,34,1430,536,0,411,49,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014666f6e74732e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['fonts.googleapis.com']
9,11,4651,740,34,1430,539,0,407,49,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014666f6e74732e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['fonts.googleapis.com']
8,10,4857,740,51,1430,621,0,402,53,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014666f6e74732e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['fonts.googleapis.com']
9,11,5193,850,34,1430,604,0,362,44,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014666f6e74732e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['fonts.googleapis.com']
85,36,52350,2120,51,1460,1331,0,470,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['secure.surveymonkey.com']
77,26,40075,948,51,1460,1367,0,1063,20,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['secure.surveymonkey.com']
156,54,18015,2140,51,1460,1328,0,437,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['secure.surveymonkey.com']
87,37,55104,1535,51,1460,1335,0,385,10,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['secure.surveymonkey.com']
79,32,39512,1534,51,1460,1343,0,462,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",null,['secure.surveymonkey.com']
6,7,3690,314,51,1430,667,0,51,18,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0016000013616a61782e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['ajax.googleapis.com']
7,9,3887,819,51,1430,588,0,142,34,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0016000013616a61782e676f6f676c65617069732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['ajax.googleapis.com']
10,10,3421,355,6,1432,377,0,117,18,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00270000247375727665796d6f6e6b65792d6173736574732e73332e616d617a6f6e6177732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['surveymonkey-assets.s3.amazonaws.com']
20,15,13580,888,6,1432,723,0,5470,300,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00270000247375727665796d6f6e6b65792d6173736574732e73332e616d617a6f6e6177732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['surveymonkey-assets.s3.amazonaws.com']
6,7,3008,343,73,1430,558,0,20,4,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c652d616e616c79746963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.google-analytics.com']
40,32,47860,3051,73,1430,1157,0,184,12,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c652d616e616c79746963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.google-analytics.com']
6,8,3008,343,73,1430,558,0,51,18,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c657461676d616e616765722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googletagmanager.com']
42,32,53561,812,73,1430,1264,0,181,5,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c657461676d616e616765722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googletagmanager.com']
16,9,17066,825,91,1460,1052,0,347,23,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00180000156a732d6167656e742e6e657772656c69632e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['js-agent.newrelic.com']
8,7,6902,356,91,1460,907,0,47,6,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00180000156a732d6167656e742e6e657772656c69632e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['js-agent.newrelic.com']
9,7,6916,347,91,1460,907,0,32,6,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000f00000c6261742e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['bat.bing.com']
18,13,15027,2229,91,1460,1015,0,338,23,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000f00000c6261742e62696e672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['bat.bing.com']
10,9,8957,856,107,1460,892,0,26,5,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014736a732e62697a6f67726170686963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['sjs.bizographics.com']
6,6,3992,371,107,1460,727,0,40,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0017000014736a732e62697a6f67726170686963732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['sjs.bizographics.com']
5,6,2834,343,75,1430,635,0,100,29,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googleadservices.com']
13,12,13103,844,75,1430,996,0,472,44,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b0000187777772e676f6f676c65616473657276696365732e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.googleadservices.com']
7,8,4870,351,91,1460,745,0,23,6,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.myvisualiq.net']
8,9,5531,1044,91,1460,730,0,2119,240,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010742e6d7976697375616c69712e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.myvisualiq.net']
13,11,10599,773,40,1460,812,0,330,30,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000d00000a732e79696d672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['s.yimg.com']
7,8,4974,305,51,1460,754,0,20,8,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000d00000a732e79696d672e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['s.yimg.com']
